lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
aktualtać,f,actuality,aktualność,dictionary_steenbergen,any,latin_learned__claude,actualitatem,,,
alkohol,m,alcohol,alkohol,dictionary_steenbergen,any,latin_learned__claude,alcoholum,,,
alkoholik,m,alcoholic,alkoholik,dictionary_steenbergen,any,latin_learned__claude,alcoholicum,,,
ambiceń,f,ambition,ambicja,dictionary_steenbergen,any,latin_learned__claude,ambitionem,,,
anarchista,m. I,anarchist,anarchista,dictionary_steenbergen,any,latin_learned__claude,anarchistam,,,
archeolog,m,archeologist,archeolog,dictionary_steenbergen,any,latin_learned__claude,archaeologum,,,
argumiętar,"v, 1",argument,argumentować,dictionary_steenbergen,any,latin_learned__claude,argumentare,,,
astrolog,m,astrologist,astrolog,dictionary_steenbergen,any,latin_learned__claude,astrologum,,,
astronom,m,astronomist,astronom,dictionary_steenbergen,any,latin_learned__claude,astronomum,,,
ateista,m. I,atheist,ateista,dictionary_steenbergen,any,latin_learned__claude,atheistam,,,
autograf,m,autograph,"podpis, autograf",dictionary_steenbergen,any,latin_learned__claude,autographum,,,
bagaż,n,luggage,bagaż,dictionary_steenbergen,any,french__claude,bagage,,,
biolog,m,biologist,biolog,dictionary_steenbergen,any,latin_learned__claude,biologum,,,
biurokracja,f. I,bureaucracy,biurokracja,dictionary_steenbergen,any,latin_learned__claude,bureaucratiam,,,
bukiet,m,bouquet,bukiet,dictionary_steenbergen,any,french__claude,bouquet,,,
częcień,f,century,"wiek, stulecie",dictionary_steenbergen,any,latin_learned__claude,centuriam,,,
definiceń,f,definition,definicja,dictionary_steenbergen,any,latin_learned__claude,definitionem,,,
demokracja,f. I,democracy,demokracja,dictionary_steenbergen,any,latin_learned__claude,democratiam,,,
despożyceń,f,disposition,dyspozycja,dictionary_steenbergen,any,latin_learned__claude,dispositionem,,,
dutaceń,f,doubt,wątpliwość,dictionary_steenbergen,any,latin_learned__claude,dubitationem,,,
dialog,m,dialogue,dialog,dictionary_steenbergen,any,latin_learned__claude,dialogum,,,
dziekłaraceń,f,declaration,deklaracja,dictionary_steenbergen,any,latin_learned__claude,declarationem,,,
dzieskrzypceń,f,description,opis,dictionary_steenbergen,any,latin_learned__claude,descriptionem,,,
dzieśpioraceń,f,despair,rozpacz,dictionary_steenbergen,any,latin_learned__claude,desperationem,,,
egoista,m. I,egoist,egoista,dictionary_steenbergen,any,latin_learned__claude,egoistam,,,
egoizm,m,egoism,egoizm,dictionary_steenbergen,any,latin_learned__claude,egoismum,,,
emoceń,f,emotion,emocja,dictionary_steenbergen,any,latin_learned__claude,emotionem,,,
encięceń,f,intention,zamiar,dictionary_steenbergen,any,latin_learned__claude,intentionem,,,
enwitaceń,f,invitation,zaproszenie,dictionary_steenbergen,any,latin_learned__claude,invitationem,,,
dzierzeceń,f,direction,kierunek,dictionary_steenbergen,any,latin_learned__claude,directionem,,,
etaż,n,floor,piętro,dictionary_steenbergen,any,french__claude,étage,,,
garaż,m,garage,garaż; warsztat,dictionary_steenbergen,any,french__claude,garage,,,
elektronika,f. I,electronics,elektronika,dictionary_steenbergen,any,latin_learned__claude,electronicam,,,
erotyka,f. I,erotics,erotyka,dictionary_steenbergen,any,latin_learned__claude,eroticam,,,
fabryka,f. I,factory,"fabryka, zakład",dictionary_steenbergen,any,latin_learned__claude,fabricam,,,
federaceń,f,federation,federacja,dictionary_steenbergen,any,latin_learned__claude,federationem,,,
fikceń,f,fiction,fikcja,dictionary_steenbergen,any,latin_learned__claude,fictionem,,,
fizyka,f. I,physics,fizyka,dictionary_steenbergen,any,latin_learned__claude,physicam,,,
funkceń,f,function,funkcja,dictionary_steenbergen,any,latin_learned__claude,functionem,,,
geograf,m,geographer,geograf,dictionary_steenbergen,any,latin_learned__claude,geographum,,,
geolog,m,geologist,geolog,dictionary_steenbergen,any,latin_learned__claude,geologum,,,
gramatyka,f. I,grammar,gramatyka,dictionary_steenbergen,any,latin_learned__claude,grammaticam,,,
historycy,adj,historical,historyczny,dictionary_steenbergen,any,latin_learned__claude,historicum + is,,,
historzyca,f. I,story,"historyjka, opowiadanko",dictionary_steenbergen,any,latin_learned__claude,historiam,,,zdrobnienie
homofonia,f. I,homophony,homofonia,dictionary_steenbergen,any,latin_learned__claude,homophoniam,,,
homoseksualista,m. I,homosexual,homoseksualista,dictionary_steenbergen,any,latin_learned__claude,homo- + sexualistam,,,
homoseksualtać,f,homosexuality,homoseksualność,dictionary_steenbergen,any,latin_learned__claude,homo- + sexualitatem,,,
imażnaceń,f,imagination,"wyobraźnia, wyobrażenie",dictionary_steenbergen,any,latin_learned__claude,imaginationem,,,
introdyceń,f,introduction,wprowadzenie,dictionary_steenbergen,any,latin_learned__claude,introductionem,,,
irytaceń,f,irritation,irytacja,dictionary_steenbergen,any,latin_learned__claude,irritationem,,,
jagierzkultura,f. I,agriculture,rolnictwo,dictionary_steenbergen,any,latin_learned__claude,agriculturam,,,
jarcista,m. I,artist,artysta,dictionary_steenbergen,any,latin_learned__claude,artistam,,,
jeleceń,f,election,wybór,dictionary_steenbergen,any,latin_learned__claude,electionem,,,
jeszczepceń,f,exception,wyjątek,dictionary_steenbergen,any,latin_learned__claude,exceptionem,,,
