id	category	title_wen	title_eng	title_pol	source
pater_noster	bible	Uraceń Donu	The Lord's Prayer	Modlitwa Pańska	texts1
babel_text	bible	Turz Bable	The Tower of Babel	Wieża Babel	texts1
christ_abgar	bible	Pistle Jezu Chrystu i Abgaru, rzeże Edesie	The epistles of Jesus Christ and Abgarus, king of Edessa	Listy Jezusa Chrystusa i Abgara, króla Edessy	texts1
ecclesiastes	bible	Ecclesiastes (Qohelet) 1:6			texts1
shema	bible	Shema Yisrael (Deuteronomy 6:4)			texts1
northwind	short_stories	Więt Miódnocały i Sul	The North Wind and the Sun	Północny Wiatr i Słońce	texts2
schleicher	short_stories	Schleicher's Tale	The Sheep and the Horses	Owca i konie	texts2
cow	short_stories	Woszka i szep	The cow and the fence	Krowa i ogrodzenie	texts2
wolf	short_stories	Łup i kań	The wolf and the dog	Wilk i pies	texts2
village	short_stories	Wikieł frączeski	The French village	Francuska wioska	texts2
lights	short_stories	Le łymna	Those lights	Tamte światła	texts2
wren	short_stories	Rzeglik	The wren	Strzyżyk	texts2
rushdie	short_stories	Salman Rushdie, “Maga za Floręce” (fragmię)	Salman Rushdie, “The Enchantress of Florence” (fragment)	Salman Rushdie, “Czarodziejka z Florencji” (fragment)	texts2
relay10	relay	Ocięceń: mały nieporłarz!	Beware of the baby!	Uwaga: zły niemowlak!	texts3
relay75	relay	Pistła	A letter	List	texts3
relay8	relay	Klucz o mnościerz	The key to the monastery	Klucz do opactwa	texts3
relay9	relay	Pięzęć dzie iwrzanu	Thinking about winter	Rozmyślania o zimie	texts3
relay11	relay	Przeskrzypceń	A recipe	Przepis	texts3
relay12	relay	Ił gwarda i porła?!			texts3
relay13	relay	Mód kętra trzyścieca iwrzanu	A method against the gloom of Winter	Sposób na zimowy smutek	texts3
relay14	relay	Uraceń pro jekunie i moszkłu, kwali wołą sie szpuzar	Prayer for a woman and a man, who want to get married	Modlitwa dla kobiety i mężczyzny, którzy chcą się pobrać	texts3
relay15	relay	Deskars frudlęci	A fraudulent speech	Przemówienie zakłamane	texts3
ring_poem	poetry	The ring poem			texts4
starling	poetry	Kęt Starnór	The Starlings' Song	Śpiew szpaków	texts4
hen	poetry	From „The Space Child's Mother Goose”, by Frederick Winsor			texts4
womb_dream	poetry	Tekst reliżuzy	Religious text	Tekst religijny	texts4
blessing	poetry	Bieńdzikaceń	Blessing	Błogosławieństwo	texts4
days	poetry	Dzeje siecianie	The days of the week	Dni tygodnia	texts4
hand	poetry	Przędź miej man	Take my hand	Weź mnie za rękę	texts4
voice	poetry	Wucz	A voice	Głos	texts4
old_irish	poetry	Bieńdzikaceń nycała wiekłoirlańka		Staroirlandzkie błogosławienie ślubne	texts4
spheres	poetry	En sferar sprzerzar	In hogere sferen	In hogere sferen	texts4
satyricon	poetry	Satyrykon, 79	Satyricon, 79	Satyricon, 79	texts4
zakochana	poetry	Enjemata	Zakochana	Zakochana	texts4
smile	poetry	Źryz	The smile	Uśmiech	texts4
part	poetry	Parć Ciej...	A part of you...	Część Ciebie...	texts4
labour	poetry	Łoworze przeducie omorze	Love's Labour's Lost	Stracone zachody miłości	texts4
liebende	poetry	Jemęcia skrzywie	The loving one writes	The loving one writes	texts4
psalm	songs	Psalm pro Ciej	Psalm dla Ciebie	Psalm dla Ciebie	texts5
summer_wine	songs	Win ściwy	Summer wine	Letnie wino	texts5
mille_anni	songs	Mille anni passi sunt			texts5
ghost_riders	songs	Kawałarzy Czału	Ghost Riders in the Sky (lit. translation)	Jeźdźcy nieba (tłumaczenie dosłowne)	texts5
sacrum	songs	Sacrum			texts5
lithium	songs	Lic	Lithium	Lit	texts5
feel	songs	Je że cembruz	It's dark already	Jest już ciemno	texts5
lavender	songs	Ławięda	Lavender	Lawenda	texts5
letter	songs	Pistła	Letter	List	texts5
shakira	songs	Z setu twiej wieście	Underneath your clothes	Pod twoim ubraniem	texts5
bezczas	songs	Sieńciępu	Timeless	Bezczas	texts5
hej	songs	Hej, Wenedzi	Hey, Veneds	Hej, Wenedzi	texts5
kawaliniany	world_history	Kód sie ście sie?	What's been happened?	Co się stało się?	texts6
shipwreck	world_history	Historia Moszkłu i łu Nawraje	The Story of the Shipwrecked Man [CR]	Historia Człowieka z Rozbitego Statku	texts6
student	world_history	Za dzejarze studentu	From a student's diary	Z dziennika studenta	texts6
biera	world_history	How to order three beer in Wenedyk?			texts6
dialogue	world_history	Dialog			texts6
caesar	world_history	Julius Caesar — De Bello Gallico			texts6
newsflash	world_history	Newsflash			texts6
declaration	world_history	Dziekłaraceń Uniwersała Drzecór Womnie, Artykuł 1	Universal Declaration of Human Right, Article 1	Powszechna Deklaracja Praw Człowieka, Artykuł 1	texts6
legend	world_history	Legenda dzie Janacie	Legend about Janać	Legenda o Janaciu	texts6
jamie_lynn	world_history	Filica żęciła ku więtrze krosu	The other Spears does the bump	Grzeczna dziewczynka z dużym brzuchem	texts6
dodo	world_history	Oskrzypceń desporłacenie ku Dodo			texts6
nosmoking	world_history				texts6
quotations	misc	Sawie porule Donie Anie Rzenacie Nowicz	Wise words by Mrs. Ana Rzenata Nowicz		texts7
babylon5	misc	Babylon 5 — Three fragments			texts7
petricon	misc	Za Piotrzykonie	From the Petricon	Z „Petriconu”	texts7
spam	misc	Randła ku milionarze	Date a millionaire	Date a millionaire	texts7
spam2	misc	Nie posu krzedzier, kód ił futszy jałtra jekuna	I can't believe he fucked another woman	Nie mogę uwierzyć, że on przeleciał inną kobietę!	texts7
spam3	misc	Jekunina kociesta barała	Female bar contest	Kobiecy konkurs barowy	texts7
spam4	misc	Pauza o obiad sur szedziędu pościcu kotata o taśma	Backseat lunchbreak caught on tape	Przerwa na lunch na tylnym siedzeniu uwieczniona na taśmie	texts7
spam5	misc	Okętra jekunie kwale odzę sie mółczar	Meet with women who hate to cuddle	Spotkaj kobiety, które nie znoszą przytulania.	texts7
carl	misc	Pistła o Karołu	Letter to Carl	List do Karola	texts7
stuff	misc	Christian Thalmann's translation exercise			texts7
translation_exercise_2	misc	Padraic Brown's translation exercise			texts7
translation_exercise_3	misc	Translation exercise 3			texts7
translation_exercise_4	misc	Translation exercise 4			texts7
translation_exercise_5	misc	Translation exercise 5			texts7
translation_exercise_6	misc	Translation exercise 6			texts7
translation_exercise_7	misc	Translation exercise 7			texts7
translation_exercise_8	misc	Translation exercise 8			texts7
goquim_sentences	misc	Goquim sentences			texts7
sentences	misc	Loose sentences			texts7
001	aphorisms	Omórz posa sie ilew, kwali li doną sie posar. [Irl-Ania]	Love happens to those, who make it happen. [Irl-Ania]	Miłość zdarza się tym, którzy dają jej się zdarzyć. [Irl-Ani	sawtacie
002	aphorisms	Lecieca parcita je lecieca dupła, Trzyścieca parcita je trzy	Shared joy is double joy. Shared sorrow is half sorrow. [Irl	Wspólna radość to podwójna radość, wspólny smutek to tylko p	sawtacie
003	aphorisms	Sień omorze rześpieraceń je sięgłamięć urłój dziemiozęci cię	Without love, breath is nothing but a clock ticking away the	Bez miłości oddech jest tylko zegarem odmierzającym czas. [z	sawtacie
004	aphorisms	Wita pocie szer karmię, kędy je jelki prokód kętar ku ciej. 	Life can be a song if there's someone to sing along. [Irl-An	Życie może być pieśnią, jeśli jest ktoś, by śpiewać razem z 	sawtacie
005	aphorisms	Wiortać je siąprz sięgłamięć córa cięprze. [Leonardo da Vinc	The truth is always just a daughter of time. [Leonardo da Vi	Prawda jest zawsze tylko córką czasu. [Leonardo da Vinci]	sawtacie
006	aphorisms	Mąd je bielerzy ka pięzawa. [Żowan Sasomętany]	The world is more beautiful than I thought. [Jan van Steenbe	Świat jest piękniejszy niż myślałem. [Jan van Steenbergen]	sawtacie
007	aphorisms	Jemęci są dziemięci	Lovers are fools	"AMANTES SUNT AMENTES

Kochankowie są szaleni"	sawtacie
008	aphorisms	Womień! Ty piędeł jętar źryz i łokrzyma.	Man! Thou pendulum betwixt a smile and tear. (G.G. Byron)	"(G.G. Byron)

Człowiek! Wahadło pomiędzy uśmiechem a łzą. (G"	sawtacie
